
Tamaño del proceso: 5920 Bytes.

Numero de paginas para el proceso: 47.vpn -> Fallo# 1: 0
vpn -> Fallo# 2: 1
vpn -> Fallo# 3: 46
vpn -> Fallo# 4: 2
vpn -> Fallo# 5: 6
vpn -> Fallo# 6: 7
vpn -> Fallo# 7: 8
vpn -> Fallo# 8: 9
vpn -> Fallo# 9: 10
vpn -> Fallo# 10: 11
vpn -> Fallo# 11: 12
vpn -> Fallo# 12: 13
vpn -> Fallo# 13: 14
vpn -> Fallo# 14: 15
vpn -> Fallo# 15: 16
vpn -> Fallo# 16: 17
vpn -> Fallo# 17: 18
vpn -> Fallo# 18: 19
vpn -> Fallo# 19: 20
vpn -> Fallo# 20: 21
vpn -> Fallo# 21: 22
vpn -> Fallo# 22: 23
vpn -> Fallo# 23: 24
vpn -> Fallo# 24: 25
vpn -> Fallo# 25: 26
vpn -> Fallo# 26: 27
vpn -> Fallo# 27: 28
vpn -> Fallo# 28: 29
vpn -> Fallo# 29: 30
vpn -> Fallo# 30: 31
vpn -> Fallo# 31: 32
vpn -> Fallo# 32: 33
vpn -> Fallo# 33: 34
vpn -> Fallo# 34: 35
vpn -> Fallo# 35: 1
vpn -> Fallo# 36: 46
vpn -> Fallo# 37: 2
vpn -> Fallo# 38: 36
vpn -> Fallo# 39: 37
vpn -> Fallo# 40: 38
vpn -> Fallo# 41: 3
vpn -> Fallo# 42: 6
vpn -> Fallo# 43: 4
vpn -> Fallo# 44: 5
vpn -> Fallo# 45: 7
vpn -> Fallo# 46: 8
vpn -> Fallo# 47: 9
vpn -> Fallo# 48: 10
vpn -> Fallo# 49: 11
vpn -> Fallo# 50: 12
vpn -> Fallo# 51: 13
vpn -> Fallo# 52: 14
vpn -> Fallo# 53: 15
vpn -> Fallo# 54: 16
vpn -> Fallo# 55: 17
vpn -> Fallo# 56: 18
vpn -> Fallo# 57: 19
vpn -> Fallo# 58: 20
vpn -> Fallo# 59: 21
vpn -> Fallo# 60: 22
vpn -> Fallo# 61: 23
vpn -> Fallo# 62: 24
vpn -> Fallo# 63: 25
vpn -> Fallo# 64: 26
vpn -> Fallo# 65: 27
vpn -> Fallo# 66: 28
vpn -> Fallo# 67: 29
vpn -> Fallo# 68: 30
vpn -> Fallo# 69: 46
vpn -> Fallo# 70: 2
vpn -> Fallo# 71: 31
vpn -> Fallo# 72: 32
vpn -> Fallo# 73: 33
vpn -> Fallo# 74: 3
vpn -> Fallo# 75: 34
vpn -> Fallo# 76: 4
vpn -> Fallo# 77: 5
vpn -> Fallo# 78: 35
vpn -> Fallo# 79: 36
vpn -> Fallo# 80: 37
vpn -> Fallo# 81: 38
vpn -> Fallo# 82: 6
vpn -> Fallo# 83: 7
vpn -> Fallo# 84: 8
vpn -> Fallo# 85: 9
vpn -> Fallo# 86: 10
vpn -> Fallo# 87: 11
vpn -> Fallo# 88: 12
vpn -> Fallo# 89: 13
vpn -> Fallo# 90: 14
vpn -> Fallo# 91: 15
vpn -> Fallo# 92: 16
vpn -> Fallo# 93: 17
vpn -> Fallo# 94: 18
vpn -> Fallo# 95: 19
vpn -> Fallo# 96: 20
vpn -> Fallo# 97: 21
vpn -> Fallo# 98: 22
vpn -> Fallo# 99: 23
vpn -> Fallo# 100: 24
vpn -> Fallo# 101: 25
vpn -> Fallo# 102: 46
vpn -> Fallo# 103: 2
vpn -> Fallo# 104: 26
vpn -> Fallo# 105: 27
